"","Bolivina cff. spathulata","Bolivina subaenariensis var. mexicana","Brizalina alata","Cassidulina teretis/laevigata","Chilostomella oolina","Cibicidoides pachyderma","Cibicidoides robertsonianus","Globobulimina spp.","Lobatula lobatula","Melonis barleeanus","Milliolinella circularis/valvularis","Nonionella turgida/pulchella","Oridorsalis umbonatus","Planulina arimenensis","Pyrgo spp.","Quinqueloculina spp.","Sphaeroidna bulloides","Triloculina spp.","Uvigerina mediterranea","Uvigerina peregrina","Virgulina subquamosa sensu Bradyi, 1884"
"0.18",9.16666666666667,0,0,9.16666666666667,7.5,4.58333333333333,2.08333333333333,8.33333333333333,0.833333333333333,0,0,1.25,0.833333333333333,4.16666666666667,0,0,2.91666666666667,0,0.416666666666667,20,6.25
"0.72",11.4832535885167,0,0,11.0047846889952,2.87081339712919,3.82775119617225,3.34928229665072,6.2200956937799,0.956937799043062,1.91387559808612,0,3.34928229665072,0.478468899521531,4.30622009569378,0,0,6.2200956937799,0,3.82775119617225,18.6602870813397,4.78468899521531
"1.56",13.4328358208955,1.99004975124378,0,15.4228855721393,3.98009950248756,6.46766169154229,2.98507462686567,4.97512437810945,0.995024875621891,0,0,2.48756218905473,0.497512437810945,4.97512437810945,0,0,5.97014925373134,0,1.99004975124378,14.9253731343284,5.97014925373134
"2.6",10.5990783410138,3.68663594470046,0,7.37327188940092,5.52995391705069,10.1382488479263,0.921658986175115,4.14746543778802,0.921658986175115,0,0,0.460829493087558,0,0.921658986175115,0,0,13.8248847926267,0,3.68663594470046,21.6589861751152,2.30414746543779
"3.42",10,0.454545454545455,0,9.54545454545455,5.90909090909091,18.1818181818182,0.454545454545455,3.18181818181818,0,0.909090909090909,0,0.454545454545455,0,1.36363636363636,0,0,18.1818181818182,0,9.54545454545455,8.63636363636364,1.81818181818182
"4.23",17.7685950413223,0,0,12.8099173553719,2.89256198347107,21.900826446281,1.65289256198347,1.65289256198347,0.413223140495868,3.30578512396694,0,0.413223140495868,1.2396694214876,2.47933884297521,0,0,6.61157024793388,0,6.61157024793388,5.78512396694215,2.47933884297521
"5.04",12.2171945701357,0,0,6.33484162895928,1.35746606334842,23.5294117647059,0.904977375565611,1.35746606334842,0,1.80995475113122,0,0.452488687782805,0.904977375565611,0.904977375565611,0,0,14.9321266968326,0,11.3122171945701,2.71493212669683,1.35746606334842
"5.59",14.7186147186147,0,0,6.92640692640693,2.16450216450216,14.2857142857143,1.73160173160173,1.2987012987013,0,1.73160173160173,0,1.73160173160173,0.432900432900433,1.73160173160173,0,0,21.6450216450216,0,9.52380952380952,7.79220779220779,0
"5.87",14.2857142857143,0,0,2.5974025974026,4.32900432900433,10.8225108225108,3.03030303030303,0.432900432900433,1.2987012987013,0.865800865800866,0,0.865800865800866,1.2987012987013,0.865800865800866,0,0,24.2424242424242,0,11.2554112554113,11.2554112554113,0.432900432900433
"6.2",14.5,0,0,2,5,12.5,1,1,1.5,3.5,0,2,0,1,0,0,16,0,12,4.5,0
"6.53",17.1171171171171,0,0,0.45045045045045,3.15315315315315,13.5135135135135,1.8018018018018,4.5045045045045,1.8018018018018,4.05405405405405,0,0.900900900900901,0.45045045045045,0.900900900900901,0,0,10.3603603603604,0,19.8198198198198,3.15315315315315,0
"6.82",25.3521126760563,0,0,0.469483568075117,2.8169014084507,13.1455399061033,0,2.34741784037559,0,8.92018779342723,0,0,1.40845070422535,0.469483568075117,0,0,7.981220657277,0,16.9014084507042,0.469483568075117,0
"7.12",15.0943396226415,0,0,0.943396226415094,2.35849056603774,7.07547169811321,0.471698113207547,3.77358490566038,2.83018867924528,4.71698113207547,0,0,2.83018867924528,2.83018867924528,0,0,16.5094339622642,0,14.622641509434,4.71698113207547,0
"7.57",14.4144144144144,0.45045045045045,0,0,3.6036036036036,9.00900900900901,8.10810810810811,6.30630630630631,3.15315315315315,8.10810810810811,0,0.45045045045045,1.35135135135135,4.5045045045045,0,0,4.95495495495495,0,0.900900900900901,6.30630630630631,0.45045045045045
